Grid Size,100
NULL,NodeType,GridX,GridY,Length,Width,Height,PosX,PosY,PosZ
0,1,3,56,1,1,0,-47.0,6.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,3,58,1,1,0,-47.0,8.0,3.0
0,0,3,58,1,1,0,-47.0,8.0,3.0
0,1,2,59,1,1,0,-48.0,9.0,3.0
0,1,2,58,1,1,0,-48.0,8.0,3.0
0,1,2,57,1,1,0,-48.0,7.0,3.0
0,1,3,57,1,1,0,-47.0,7.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,3,59,1,1,0,-47.0,9.0,3.0
0,0,3,59,1,1,0,-47.0,9.0,3.0
0,1,2,60,1,1,0,-48.0,10.0,3.0
0,1,2,59,1,1,0,-48.0,9.0,3.0
0,1,2,58,1,1,0,-48.0,8.0,3.0
0,1,3,58,1,1,0,-47.0,8.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,3,60,1,1,0,-47.0,10.0,3.0
0,0,3,60,1,1,0,-47.0,10.0,3.0
0,1,2,61,1,1,0,-48.0,11.0,3.0
0,1,2,60,1,1,0,-48.0,10.0,3.0
0,1,2,59,1,1,0,-48.0,9.0,3.0
0,1,3,59,1,1,0,-47.0,9.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,3,61,1,1,0,-47.0,11.0,3.0
0,0,3,61,1,1,0,-47.0,11.0,3.0
0,1,2,62,1,1,0,-48.0,12.0,3.0
0,1,2,61,1,1,0,-48.0,11.0,3.0
0,1,2,60,1,1,0,-48.0,10.0,3.0
0,1,3,60,1,1,0,-47.0,10.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,3,62,1,1,0,-47.0,12.0,3.0
0,0,3,62,1,1,0,-47.0,12.0,3.0
0,1,2,63,1,1,0,-48.0,13.0,3.0
0,1,2,62,1,1,0,-48.0,12.0,3.0
0,1,2,61,1,1,0,-48.0,11.0,3.0
0,1,3,61,1,1,0,-47.0,11.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,3,63,1,1,0,-47.0,13.0,3.0
0,0,3,63,1,1,0,-47.0,13.0,3.0
0,1,2,64,1,1,0,-48.0,14.0,3.0
0,1,2,63,1,1,0,-48.0,13.0,3.0
0,1,2,62,1,1,0,-48.0,12.0,3.0
0,1,3,62,1,1,0,-47.0,12.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,3,64,1,1,0,-47.0,14.0,3.0
0,0,3,64,1,1,0,-47.0,14.0,3.0
0,1,2,65,1,1,0,-48.0,15.0,3.0
0,1,2,64,1,1,0,-48.0,14.0,3.0
0,1,2,63,1,1,0,-48.0,13.0,3.0
0,1,3,63,1,1,0,-47.0,13.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,3,65,1,1,0,-47.0,15.0,3.0
0,0,3,65,1,1,0,-47.0,15.0,3.0
0,1,2,66,1,1,0,-48.0,16.0,3.0
0,1,2,65,1,1,0,-48.0,15.0,3.0
0,1,2,64,1,1,0,-48.0,14.0,3.0
0,1,3,64,1,1,0,-47.0,14.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,3,66,1,1,0,-47.0,16.0,3.0
0,0,3,66,1,1,0,-47.0,16.0,3.0
0,1,2,67,1,1,0,-48.0,17.0,3.0
0,1,2,66,1,1,0,-48.0,16.0,3.0
0,1,2,65,1,1,0,-48.0,15.0,3.0
0,1,3,65,1,1,0,-47.0,15.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,3,67,1,1,0,-47.0,17.0,3.0
0,0,3,67,1,1,0,-47.0,17.0,3.0
0,1,2,68,1,1,0,-48.0,18.0,3.0
0,1,2,67,1,1,0,-48.0,17.0,3.0
0,1,2,66,1,1,0,-48.0,16.0,3.0
0,1,3,66,1,1,0,-47.0,16.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,3,68,1,1,0,-47.0,18.0,3.0
0,0,3,68,1,1,0,-47.0,18.0,3.0
0,1,2,69,1,1,0,-48.0,19.0,3.0
0,1,2,68,1,1,0,-48.0,18.0,3.0
0,1,2,67,1,1,0,-48.0,17.0,3.0
0,1,3,67,1,1,0,-47.0,17.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,3,69,1,1,0,-47.0,19.0,3.0
0,0,3,69,1,1,0,-47.0,19.0,3.0
0,1,2,70,1,1,0,-48.0,20.0,3.0
0,1,2,69,1,1,0,-48.0,19.0,3.0
0,1,2,68,1,1,0,-48.0,18.0,3.0
0,1,3,68,1,1,0,-47.0,18.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,3,70,1,1,0,-47.0,20.0,3.0
0,0,3,70,1,1,0,-47.0,20.0,3.0
0,1,2,71,1,1,0,-48.0,21.0,3.0
0,1,2,70,1,1,0,-48.0,20.0,3.0
0,1,2,69,1,1,0,-48.0,19.0,3.0
0,1,3,69,1,1,0,-47.0,19.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,3,71,1,1,0,-47.0,21.0,3.0
0,0,3,71,1,1,0,-47.0,21.0,3.0
0,1,2,72,1,1,0,-48.0,22.0,3.0
0,1,2,71,1,1,0,-48.0,21.0,3.0
0,1,2,70,1,1,0,-48.0,20.0,3.0
0,1,3,70,1,1,0,-47.0,20.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,3,72,1,1,0,-47.0,22.0,3.0
0,0,3,72,1,1,0,-47.0,22.0,3.0
0,1,2,73,1,1,0,-48.0,23.0,3.0
0,1,2,72,1,1,0,-48.0,22.0,3.0
0,1,2,71,1,1,0,-48.0,21.0,3.0
0,1,3,71,1,1,0,-47.0,21.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,3,73,1,1,0,-47.0,23.0,3.0
0,0,3,73,1,1,0,-47.0,23.0,3.0
0,1,2,74,1,1,0,-48.0,24.0,3.0
0,1,2,73,1,1,0,-48.0,23.0,3.0
0,1,2,72,1,1,0,-48.0,22.0,3.0
0,1,3,72,1,1,0,-47.0,22.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,3,74,1,1,0,-47.0,24.0,3.0
0,0,3,74,1,1,0,-47.0,24.0,3.0
0,1,2,75,1,1,0,-48.0,25.0,3.0
0,1,2,74,1,1,0,-48.0,24.0,3.0
0,1,2,73,1,1,0,-48.0,23.0,3.0
0,1,3,73,1,1,0,-47.0,23.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,3,75,1,1,0,-47.0,25.0,3.0
0,0,3,75,1,1,0,-47.0,25.0,3.0
0,1,2,76,1,1,0,-48.0,26.0,3.0
0,1,2,75,1,1,0,-48.0,25.0,3.0
0,1,2,74,1,1,0,-48.0,24.0,3.0
0,1,3,74,1,1,0,-47.0,24.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,3,76,1,1,0,-47.0,26.0,3.0
0,0,3,76,1,1,0,-47.0,26.0,3.0
0,1,2,77,1,1,0,-48.0,27.0,3.0
0,1,2,76,1,1,0,-48.0,26.0,3.0
0,1,2,75,1,1,0,-48.0,25.0,3.0
0,1,3,75,1,1,0,-47.0,25.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,3,77,1,1,0,-47.0,27.0,3.0
0,0,3,77,1,1,0,-47.0,27.0,3.0
0,1,2,78,1,1,0,-48.0,28.0,3.0
0,1,2,77,1,1,0,-48.0,27.0,3.0
0,1,2,76,1,1,0,-48.0,26.0,3.0
0,1,3,76,1,1,0,-47.0,26.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,3,78,1,1,0,-47.0,28.0,3.0
0,0,3,78,1,1,0,-47.0,28.0,3.0
0,1,2,79,1,1,0,-48.0,29.0,3.0
0,1,2,78,1,1,0,-48.0,28.0,3.0
0,1,2,77,1,1,0,-48.0,27.0,3.0
0,1,3,77,1,1,0,-47.0,27.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,3,79,1,1,0,-47.0,29.0,3.0
0,0,3,79,1,1,0,-47.0,29.0,3.0
0,1,2,80,1,1,0,-48.0,30.0,3.0
0,1,2,79,1,1,0,-48.0,29.0,3.0
0,1,2,78,1,1,0,-48.0,28.0,3.0
0,1,3,78,1,1,0,-47.0,28.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,3,80,1,1,0,-47.0,30.0,3.0
0,0,3,80,1,1,0,-47.0,30.0,3.0
0,1,2,81,1,1,0,-48.0,31.0,3.0
0,1,2,80,1,1,0,-48.0,30.0,3.0
0,1,2,79,1,1,0,-48.0,29.0,3.0
0,1,3,79,1,1,0,-47.0,29.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,3,81,1,1,0,-47.0,31.0,3.0
0,0,3,81,1,1,0,-47.0,31.0,3.0
0,1,2,82,1,1,0,-48.0,32.0,3.0
0,1,2,81,1,1,0,-48.0,31.0,3.0
0,1,2,80,1,1,0,-48.0,30.0,3.0
0,1,3,80,1,1,0,-47.0,30.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,3,82,1,1,0,-47.0,32.0,3.0
0,0,3,82,1,1,0,-47.0,32.0,3.0
0,1,2,83,1,1,0,-48.0,33.0,3.0
0,1,2,82,1,1,0,-48.0,32.0,3.0
0,1,2,81,1,1,0,-48.0,31.0,3.0
0,1,3,81,1,1,0,-47.0,31.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,3,83,1,1,0,-47.0,33.0,3.0
0,0,3,83,1,1,0,-47.0,33.0,3.0
0,1,2,84,1,1,0,-48.0,34.0,3.0
0,1,2,83,1,1,0,-48.0,33.0,3.0
0,1,2,82,1,1,0,-48.0,32.0,3.0
0,1,3,82,1,1,0,-47.0,32.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,3,84,1,1,0,-47.0,34.0,3.0
0,0,3,84,1,1,0,-47.0,34.0,3.0
0,1,2,85,1,1,0,-48.0,35.0,3.0
0,1,2,84,1,1,0,-48.0,34.0,3.0
0,1,2,83,1,1,0,-48.0,33.0,3.0
0,1,3,83,1,1,0,-47.0,33.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,3,85,1,1,0,-47.0,35.0,3.0
0,0,3,85,1,1,0,-47.0,35.0,3.0
0,1,2,86,1,1,0,-48.0,36.0,3.0
0,1,2,85,1,1,0,-48.0,35.0,3.0
0,1,2,84,1,1,0,-48.0,34.0,3.0
0,1,3,84,1,1,0,-47.0,34.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,3,86,1,1,0,-47.0,36.0,3.0
0,0,3,86,1,1,0,-47.0,36.0,3.0
0,1,2,87,1,1,0,-48.0,37.0,3.0
0,1,2,86,1,1,0,-48.0,36.0,3.0
0,1,2,85,1,1,0,-48.0,35.0,3.0
0,1,3,85,1,1,0,-47.0,35.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,3,87,1,1,0,-47.0,37.0,3.0
0,0,3,87,1,1,0,-47.0,37.0,3.0
0,1,2,88,1,1,0,-48.0,38.0,3.0
0,1,2,87,1,1,0,-48.0,37.0,3.0
0,1,2,86,1,1,0,-48.0,36.0,3.0
0,1,3,86,1,1,0,-47.0,36.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,3,88,1,1,0,-47.0,38.0,3.0
0,0,3,88,1,1,0,-47.0,38.0,3.0
0,1,2,89,1,1,0,-48.0,39.0,3.0
0,1,2,88,1,1,0,-48.0,38.0,3.0
0,1,2,87,1,1,0,-48.0,37.0,3.0
0,1,3,87,1,1,0,-47.0,37.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,3,89,1,1,0,-47.0,39.0,3.0
0,0,3,89,1,1,0,-47.0,39.0,3.0
0,1,2,90,1,1,0,-48.0,40.0,3.0
0,1,2,89,1,1,0,-48.0,39.0,3.0
0,1,2,88,1,1,0,-48.0,38.0,3.0
0,1,3,88,1,1,0,-47.0,38.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,3,90,1,1,0,-47.0,40.0,3.0
0,0,3,90,1,1,0,-47.0,40.0,3.0
0,1,2,91,1,1,0,-48.0,41.0,3.0
0,1,2,90,1,1,0,-48.0,40.0,3.0
0,1,2,89,1,1,0,-48.0,39.0,3.0
0,1,3,89,1,1,0,-47.0,39.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,3,91,1,1,0,-47.0,41.0,3.0
0,0,3,91,1,1,0,-47.0,41.0,3.0
0,1,2,92,1,1,0,-48.0,42.0,3.0
0,1,2,91,1,1,0,-48.0,41.0,3.0
0,1,2,90,1,1,0,-48.0,40.0,3.0
0,1,3,90,1,1,0,-47.0,40.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,3,92,1,1,0,-47.0,42.0,3.0
0,0,3,92,1,1,0,-47.0,42.0,3.0
0,1,2,93,1,1,0,-48.0,43.0,3.0
0,1,2,92,1,1,0,-48.0,42.0,3.0
0,1,2,91,1,1,0,-48.0,41.0,3.0
0,1,3,91,1,1,0,-47.0,41.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,3,93,1,1,0,-47.0,43.0,3.0
0,0,3,93,1,1,0,-47.0,43.0,3.0
0,1,2,94,1,1,0,-48.0,44.0,3.0
0,1,2,93,1,1,0,-48.0,43.0,3.0
0,1,2,92,1,1,0,-48.0,42.0,3.0
0,1,3,92,1,1,0,-47.0,42.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,3,94,1,1,0,-47.0,44.0,3.0
0,0,3,94,1,1,0,-47.0,44.0,3.0
0,1,2,95,1,1,0,-48.0,45.0,3.0
0,1,2,94,1,1,0,-48.0,44.0,3.0
0,1,2,93,1,1,0,-48.0,43.0,3.0
0,1,3,93,1,1,0,-47.0,43.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,3,95,1,1,0,-47.0,45.0,3.0
0,0,3,95,1,1,0,-47.0,45.0,3.0
0,1,2,96,1,1,0,-48.0,46.0,3.0
0,1,2,95,1,1,0,-48.0,45.0,3.0
0,1,2,94,1,1,0,-48.0,44.0,3.0
0,1,3,94,1,1,0,-47.0,44.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,3,96,1,1,0,-47.0,46.0,3.0
0,0,3,96,1,1,0,-47.0,46.0,3.0
0,1,2,97,1,1,0,-48.0,47.0,3.0
0,1,2,96,1,1,0,-48.0,46.0,3.0
0,1,2,95,1,1,0,-48.0,45.0,3.0
0,1,3,95,1,1,0,-47.0,45.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,4,97,1,1,0,-46.0,47.0,3.0
0,1,3,97,1,1,0,-47.0,47.0,3.0
0,0,3,97,1,1,0,-47.0,47.0,3.0
0,1,2,98,1,1,0,-48.0,48.0,3.0
0,1,2,97,1,1,0,-48.0,47.0,3.0
0,1,2,96,1,1,0,-48.0,46.0,3.0
0,1,3,96,1,1,0,-47.0,46.0,3.0
1,1,0,0,0,0,0,0,0,0
0,1,4,97,1,1,0,-46.0,47.0,3.0
0,1,4,98,1,1,0,-46.0,48.0,3.0
0,1,3,98,1,1,0,-47.0,48.0,3.0
0,0,3,98,1,1,0,-47.0,48.0,3.0
0,1,2,99,1,1,0,-48.0,49.0,3.0
0,1,2,98,1,1,0,-48.0,48.0,3.0
0,1,2,97,1,1,0,-48.0,47.0,3.0
0,1,3,97,1,1,0,-47.0,47.0,3.0
0,1,4,97,1,1,0,-46.0,47.0,3.0
0,1,4,98,1,1,0,-46.0,48.0,3.0
0,1,4,99,1,1,0,-46.0,49.0,3.0
0,1,3,99,1,1,0,-47.0,49.0,3.0
0,0,3,99,1,1,0,-47.0,49.0,3.0
1,1,0,0,0,0,0,0,0,0
0,1,2,99,1,1,0,-48.0,49.0,3.0
0,1,2,98,1,1,0,-48.0,48.0,3.0
0,1,3,98,1,1,0,-47.0,48.0,3.0
0,1,4,98,1,1,0,-46.0,48.0,3.0
0,1,4,99,1,1,0,-46.0,49.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,0,4,1,1,1,0,-46.0,-49.0,3.0
0,1,3,2,1,1,0,-47.0,-48.0,3.0
0,1,3,1,1,1,0,-47.0,-49.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,5,1,1,1,0,-45.0,-49.0,3.0
0,1,5,2,1,1,0,-45.0,-48.0,3.0
0,1,4,2,1,1,0,-46.0,-48.0,3.0
0,0,4,2,1,1,0,-46.0,-48.0,3.0
0,1,3,3,1,1,0,-47.0,-47.0,3.0
0,1,3,2,1,1,0,-47.0,-48.0,3.0
0,1,3,1,1,1,0,-47.0,-49.0,3.0
0,1,4,1,1,1,0,-46.0,-49.0,3.0
0,1,5,1,1,1,0,-45.0,-49.0,3.0
0,1,5,2,1,1,0,-45.0,-48.0,3.0
0,1,5,3,1,1,0,-45.0,-47.0,3.0
0,1,4,3,1,1,0,-46.0,-47.0,3.0
0,0,4,3,1,1,0,-46.0,-47.0,3.0
0,1,3,4,1,1,0,-47.0,-46.0,3.0
0,1,3,3,1,1,0,-47.0,-47.0,3.0
0,1,3,2,1,1,0,-47.0,-48.0,3.0
0,1,4,2,1,1,0,-46.0,-48.0,3.0
0,1,5,2,1,1,0,-45.0,-48.0,3.0
0,1,5,3,1,1,0,-45.0,-47.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,0,4,97,1,1,0,-46.0,47.0,3.0
0,1,3,98,1,1,0,-47.0,48.0,3.0
0,1,3,97,1,1,0,-47.0,47.0,3.0
0,1,3,96,1,1,0,-47.0,46.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,5,97,1,1,0,-45.0,47.0,3.0
0,1,5,98,1,1,0,-45.0,48.0,3.0
0,1,4,98,1,1,0,-46.0,48.0,3.0
0,0,4,98,1,1,0,-46.0,48.0,3.0
0,1,3,99,1,1,0,-47.0,49.0,3.0
0,1,3,98,1,1,0,-47.0,48.0,3.0
0,1,3,97,1,1,0,-47.0,47.0,3.0
0,1,4,97,1,1,0,-46.0,47.0,3.0
0,1,5,97,1,1,0,-45.0,47.0,3.0
0,1,5,98,1,1,0,-45.0,48.0,3.0
0,1,5,99,1,1,0,-45.0,49.0,3.0
0,1,4,99,1,1,0,-46.0,49.0,3.0
0,0,4,99,1,1,0,-46.0,49.0,3.0
1,1,0,0,0,0,0,0,0,0
0,1,3,99,1,1,0,-47.0,49.0,3.0
0,1,3,98,1,1,0,-47.0,48.0,3.0
0,1,4,98,1,1,0,-46.0,48.0,3.0
0,1,5,98,1,1,0,-45.0,48.0,3.0
0,1,5,99,1,1,0,-45.0,49.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,0,5,1,1,1,0,-45.0,-49.0,3.0
0,1,4,2,1,1,0,-46.0,-48.0,3.0
0,1,4,1,1,1,0,-46.0,-49.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,6,1,1,1,0,-44.0,-49.0,3.0
0,1,6,2,1,1,0,-44.0,-48.0,3.0
0,1,5,2,1,1,0,-45.0,-48.0,3.0
0,0,5,2,1,1,0,-45.0,-48.0,3.0
0,1,4,3,1,1,0,-46.0,-47.0,3.0
0,1,4,2,1,1,0,-46.0,-48.0,3.0
0,1,4,1,1,1,0,-46.0,-49.0,3.0
0,1,5,1,1,1,0,-45.0,-49.0,3.0
0,1,6,1,1,1,0,-44.0,-49.0,3.0
0,1,6,2,1,1,0,-44.0,-48.0,3.0
0,1,6,3,1,1,0,-44.0,-47.0,3.0
0,1,5,3,1,1,0,-45.0,-47.0,3.0
0,0,5,3,1,1,0,-45.0,-47.0,3.0
1,1,0,0,0,0,0,0,0,0
0,1,4,3,1,1,0,-46.0,-47.0,3.0
0,1,4,2,1,1,0,-46.0,-48.0,3.0
0,1,5,2,1,1,0,-45.0,-48.0,3.0
0,1,6,2,1,1,0,-44.0,-48.0,3.0
0,1,6,3,1,1,0,-44.0,-47.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,0,5,97,1,1,0,-45.0,47.0,3.0
0,1,4,98,1,1,0,-46.0,48.0,3.0
0,1,4,97,1,1,0,-46.0,47.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,6,97,1,1,0,-44.0,47.0,3.0
0,1,6,98,1,1,0,-44.0,48.0,3.0
0,1,5,98,1,1,0,-45.0,48.0,3.0
0,0,5,98,1,1,0,-45.0,48.0,3.0
0,1,4,99,1,1,0,-46.0,49.0,3.0
0,1,4,98,1,1,0,-46.0,48.0,3.0
0,1,4,97,1,1,0,-46.0,47.0,3.0
0,1,5,97,1,1,0,-45.0,47.0,3.0
0,1,6,97,1,1,0,-44.0,47.0,3.0
0,1,6,98,1,1,0,-44.0,48.0,3.0
0,1,6,99,1,1,0,-44.0,49.0,3.0
0,1,5,99,1,1,0,-45.0,49.0,3.0
0,0,5,99,1,1,0,-45.0,49.0,3.0
1,1,0,0,0,0,0,0,0,0
0,1,4,99,1,1,0,-46.0,49.0,3.0
0,1,4,98,1,1,0,-46.0,48.0,3.0
0,1,5,98,1,1,0,-45.0,48.0,3.0
0,1,6,98,1,1,0,-44.0,48.0,3.0
0,1,6,99,1,1,0,-44.0,49.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,0,6,1,1,1,0,-44.0,-49.0,3.0
0,1,5,2,1,1,0,-45.0,-48.0,3.0
0,1,5,1,1,1,0,-45.0,-49.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,7,1,1,1,0,-43.0,-49.0,3.0
0,1,7,2,1,1,0,-43.0,-48.0,3.0
0,1,6,2,1,1,0,-44.0,-48.0,3.0
0,0,6,2,1,1,0,-44.0,-48.0,3.0
0,1,5,3,1,1,0,-45.0,-47.0,3.0
0,1,5,2,1,1,0,-45.0,-48.0,3.0
0,1,5,1,1,1,0,-45.0,-49.0,3.0
0,1,6,1,1,1,0,-44.0,-49.0,3.0
0,1,7,1,1,1,0,-43.0,-49.0,3.0
0,1,7,2,1,1,0,-43.0,-48.0,3.0
0,1,7,3,1,1,0,-43.0,-47.0,3.0
0,1,6,3,1,1,0,-44.0,-47.0,3.0
0,0,6,3,1,1,0,-44.0,-47.0,3.0
1,1,0,0,0,0,0,0,0,0
0,1,5,3,1,1,0,-45.0,-47.0,3.0
0,1,5,2,1,1,0,-45.0,-48.0,3.0
0,1,6,2,1,1,0,-44.0,-48.0,3.0
0,1,7,2,1,1,0,-43.0,-48.0,3.0
0,1,7,3,1,1,0,-43.0,-47.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,0,6,97,1,1,0,-44.0,47.0,3.0
0,1,5,98,1,1,0,-45.0,48.0,3.0
0,1,5,97,1,1,0,-45.0,47.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,7,97,1,1,0,-43.0,47.0,3.0
0,1,7,98,1,1,0,-43.0,48.0,3.0
0,1,6,98,1,1,0,-44.0,48.0,3.0
0,0,6,98,1,1,0,-44.0,48.0,3.0
0,1,5,99,1,1,0,-45.0,49.0,3.0
0,1,5,98,1,1,0,-45.0,48.0,3.0
0,1,5,97,1,1,0,-45.0,47.0,3.0
0,1,6,97,1,1,0,-44.0,47.0,3.0
0,1,7,97,1,1,0,-43.0,47.0,3.0
0,1,7,98,1,1,0,-43.0,48.0,3.0
0,1,7,99,1,1,0,-43.0,49.0,3.0
0,1,6,99,1,1,0,-44.0,49.0,3.0
0,0,6,99,1,1,0,-44.0,49.0,3.0
1,1,0,0,0,0,0,0,0,0
0,1,5,99,1,1,0,-45.0,49.0,3.0
0,1,5,98,1,1,0,-45.0,48.0,3.0
0,1,6,98,1,1,0,-44.0,48.0,3.0
0,1,7,98,1,1,0,-43.0,48.0,3.0
0,1,7,99,1,1,0,-43.0,49.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,0,7,1,1,1,0,-43.0,-49.0,3.0
0,1,6,2,1,1,0,-44.0,-48.0,3.0
0,1,6,1,1,1,0,-44.0,-49.0,3.0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,8,1,1,1,0,-42.0,-49.0,3.0
0,1,8,2,1,1,0,-42.0,-48.0,3.0
0,1,7,2,1,1,0,-43.0,-48.0,3.0
0,0,7,2,1,1,0,-43.0,-48.0,3.0
